,adición,aguante,aguijón,ajedrez,albañil,alcance,aliento,anciana,aptitud,aristas,arreglo,atuendo,audacia,aullido,balanza,bandera,barbero,barriga,biólogo,bohemia,cadáver,camisón,cantina,capilla,capitán,caracol,caverna,cazuela,cigüeña,conjuro,cosecha,costura,crucero,cáscara,delicia,descaro,detalle,dulzura,emoción,encanto,entidad,entorno,espanto,espiral,estatua,estatus,evasión,facetas,fealdad,felinos,fortuna,frenesí,galaxia,gatillo,granito,hoguera,hormona,huracán,indicio,inercia,influjo,ingreso,intriga,lamento,letrero,levante,llanura,lucidez,lágrima,lástima,madrina,madurez,malicia,mandato,mejilla,milagro,misiles,modales,monarca,montaje,místico,neblina,nitidez,padrino,palacio,palanca,pantano,panteón,parcela,pericia,pistola,planeta,poblado,premisa,pupitre,péndulo,reclamo,reflejo,regreso,reserva,resorte,revuelo,réplica,salario,sanidad,semilla,socorro,solidez,soltura,suspiro,timidez,torpeza,tributo,trámite,validez,vampiro,vanidad,viajero,vinagre,vínculo
5293,incluir,Fuerza,abeja,movimientos limitados,trabajo en el campo,altura,frio,canosa,hacer algo bien,matemáticas,Matrimonial,alto nivel socioeconomico,extremo,oscuridad ,Gramera,representar un grupo de gente,buen pulso,Comida,profesional,musica,Pasado,soltura,buen humor,rezar,liderazgo,Miedoso,Animales,caldo,patas largas,rezo,cosechar tu comida,chaqueta,viaje de recreación,compost,dulces,engaño,Elementos menos importantes,algo suave,positivas o negativas,generoso,sin forma,personas con las que nos relacionamos,feo,figuras geométricas ,rigidez,vista de otro,no aceptar,transformación,Nariz,indomable,Casualidad,tipo de delirio,ovni,fulminante,geología,fuego,Ley,tormenta,signo de algo no obvio,capacidad de los cuerpos ,dinero,poder entrar ,querer saber,pasado,anuncio,tomar,Cerro,claridad,agua,Sentimiento,familia,prudencia,maldad,algo que realizan otros,Cara,No explicable,guerra,parte de las normas de etiqueta,un elegido por la religión,Película ,indefinido,Vampiro,radiante,Relacionado con la religión,bonita estructura con historia,parte de un juego ,cocodrilos ,grecia,arrendar,experiencia,objeto de ataque,en medio del vacio,formas primitiva de vivir,da paso a una conclusión,Mueble,angulo,comentario,yo mismo,viaje al pasado,se guarda,cable,Bullicio,Algo identico a otra cosa,billetes,limpieza,vida,SOS,capacidad de los cuerpos,Disposicion,limeño,sonrojarse,Recreo,Acto,Cosas que hacer,factible,ajos,orgullo,aventurero,alcohol,Relacion 
5294,incorporar,Valentía,avispa,acciones irreversibles,musculoso,atrapar,visible,lentes,no ser malo en algo,figuras,Estafa,estatus,luchador,bosques,Pesos,historia,cuidadoso,Llena,le gusta la biología,nostalgia,Antiguo,antiguo,cerveza,paz ,tropa militar,Fragil,cueva,guiso,varias razas,exorcismo,industria de cosecha,textiles,a bordo se entrega una variedad de servicios,cebollas,comida no muy saludable,doble cara,Elemento que pertene a un conjunto de cosas ,ternura de una persona,positivas o negativas,gratitud,conceptualmente entendible,esfera,negativo,hipnotizante,arte ,estado,no tomar en cuenta,cambio,Gris,que parece o es de gato,Que atrae la suerte,locura,extraterrestre,percutor,gris oscuro,rocas,testosterona,estructura de gran tamaño compuesta por aire,señal no física,mantener el movimiento,ganancia,nuevos comienzos ,conocer,no haber aprovechado,cartel,sostener algo,Terreno,despejo,lagrima de feliciddad,Ver con Inferioridad,cargo,consciente del entorno ,Maldad,imponer una regla ,Piel,Bueno,barcos,gestos,Acumulador de riquezas,Farsa,morado,nublado,esplendoroso,Acompaña a alguien durante un proceso religioso,representa alguna epoca y acontecimiento,parte de un auto,ranas ,antiguo,Predio de gran tamaño a las afueras de la capital,investigador,instrumento para controlar la violencia,sistema solar,contruido por el ser humano,se utilizan de temas de contingencia ,mesa,extremo,en contra de algo,Cristal,visitar nuevamente algo o alguien,tener para estar preparado,soporta impactos,Conmocion,Relacionado con objetos,dolares,personal,verde,sangrado,estable,Libertad,estados de animo,cohibir ,Básica,regalo a un dios,Tareas,aprobado ,vuela,material,valiente,acetico,Asociación
5295,Permite agregar,Corazón,veneno,Juego de mesa,calor,Distancia,exhalar,arrugada,saber de algo,cubo,Deportivo,traje,capaz,Lobo,bien y mal,Tiene varios colores,peluquero,Grasa,sabe de biología,exotico,Putrido,femenino,jarras,arrodillarse,poder,Verde,oscuro,cacerola,parte de una familia de aves,esoterismo,rural,hilo,turístico,proteccion,Dulce,indecente,Preocupación secundaria,bondad ,enojo,agraciado,Grupo,contexto,Se asocia a aterro o a lo terrorifico,tallarin,hombre,vista economico,contra las normas,dia y noche,Chascon,fiero,Algo que nos favorece,locura,se expande ,pieza de un arma ,material,madera,estrogeno,estados unidos,evidencia de un hecho,física ,Persuacion,nuevos lugares ,deseo,sin vuelta atras,papel,agarrar ,Espacio con pasto,informacion perfecta,sentimiento de dolor,Victimización ,cuidar,fin de la niñez,Querer beneficiarse con acto malo,orden,Carne,algo divino,segunda guerra mundial,movimientos,Figura pública,Teatro,estrellas,humo,lustroso,Implica una responsbailidad y cuidado especial sobre alguien,marca un antes y despues,parte de la física,barro,Deidades,Relacionado como destino vacacional o de fines agriculturales,desechable,instrumento para desatar la violencia,mezcla de polvo y gases,rural,Prejuicio,escritorio,vaiven,cuando algo no anda bien,Espejo,volver,guardar,ayuda a la implementación ,Perturbacion, copia,riqueza,estar sano,Origen de plantas,peligro,compacto,tranquilidad,tristeza,vergüenza,poco habíl,forma de mostrar aprecio a los dioses,cuando tienes que realizar asuntos legales,afirmar con bases,obscuros,afán,abrir la mente,salud,Representa una unión entre dos o mas personas u objetos
5296,Permite sumarse a algo,respiración ,dolor,Es considerado un deporte,lana,Lo más lejos que llega algo,boca,independiente,constancia,lados,Político,vestirse,virtuoso,Perro,Balanza digital,Flamea,local,Embarazo,estudió algo con biología,mujer,Fallecimiento ,Wendy,antiguedad,iglesia pequeña,lucha,Comida gourmet Francia,agua,olla,Bebes,ruego,granja,tijeras,caro,organica,Chocolate,inapropiado,Hacer algo con minuciosidad,sensibilidad de una persona,amor,bueno ayudando,Representación,rodear,Produce evasión o alejamiento,escalera,grande,vista social,contrario a lo establecido,vida,Torta,ágil,beneficio azaroso,extasis,luz,disparador ,edad,carbón,feromonas,destruccion,la causa de un efecto,fórmulas,Cambio de parecer,algo positivo ,desconocido,sin cambios,escritura,alzar ,Son planos,cafeina,gota ,Tristeza,responsabilidad,seriedad ,Malvado,autoridad,Abuela apreta mejilla,fuera de lo normal,enemigo,actitudes,Político,Música ,Divino,dificultad para ver,claridad,Implica una responsbailidad y cuidado especial sobre alguien,hecho de algun material duro,Palo,oscuro,cementerio, Cada una tiene un dueño ,capacidad,instrumento,elipses,gente,antes de ,estudios,movimiento,facultad del cliente,Agua,reiniciar ,tener provisiones,parte esencial de un producto,caos,temblor,trabajo,estar bien mentalmente,Comida,ayuda,duro,desplante,exhaucion,acompañada de sonrojo,capacidad de las personas,forma de mostrar aprecio a los seres queridos,son procesos más formales de realizar,algo real,veloces,necesidad de admiración ,conocer culturas distintas,líquido,lazo
5630,Es algo que sobra,llorar,picazón,Piezas negras,herramientas,Agarrar con la mano,persona,Persona que ha vivido mucho,seriedad,cara,"un arreglo de flores, tiene distintas flores en el",ropa,robin hood,Luna,Balanza para cocina,Es rectangular,belleza,Guatita llena corazon contento,persona pensante,femenino,muerte,Señora,taberna,cruz,resiliencia,Herido por sal ,humedo,vasija,Animal ,terror,campo,Punto,barco,pelar,Trufa,disgusto,pormenor,Niño,ira,agradeble,Asociación,Conjunto,Se genera por una gran cantidad de miedo ,serpentina,altura,cariño ,no pagar,evolución,subjetivo,predadores,trebol de 4 hojas ,drogas,oscuridad,accionador,Diminutivo de grano,calor,endorfinas,tapar las ventanas,sopecha,movimiento,manipulacion,nueva información ,experiencia,nada que hacer,metal,erguirse,Campo,cortisol,líquida,Mueve a ayudar a alguien,figura,edad suficiente,Piensa en el mal,decreto,Boca,Inesperado,explosión ,predisposición,dominador de un territorio,Actuación ,Anormal,peligro para andar,facil de ver,pariente,tiene estabilidad,Torque,sucio,respeto,campo,habilidad,bala,estrella,casas antiguas,Proposicion,aprendizaje,opuestos,llegan a las empresas,Movimiento,resetear ,prevencion para que sirva al tiempo,se expande y se contrae,incertidumbre,clonacion,banco,cualidad saludable,Alimento ,Señal de auxilio,entero,relajo,Señal de cansancio ,poca capacidad para hablar,imposibilidad de ser eficiente en algo,impuestos dictados por el estado,pasos que seguir para llegar al objetivo,sustentado,nocturnos,narcisismo,desconocido,sabor agrio,amarre a algo
5631,Es algo que agrega valor,resistencia,escorpión,Piezas blancas,bosque,Estirar el brazo,vida,Persona con sabiduría,habilidad,lineas,Cuando voy a correr mi arreglo de ropa es deportivo,combinar ropa,astuto,Temblor,balanza antigua,Representación de ciudad,cuidado personal,Gordura,marino,arte,cuerpo,Dormir,cafeteria,jesus,barco,lento,murcielago,almuerzo ,Volar,peliculas,cultivo,Peluche,vacaciones,desechar,Hambre,estafa,Pequeño ,Perro,miedo,tierno,Concepto que encierra objetos,Ambiente,Aparece en las peliculas del genero terror,linea circular ,grecia,seguimiento,no cumplir responsabilidades,madurar,apariencia,carnívoros,suerte ,adrenalina,star wars,diminutivo de gato,Se asocia a algo pequeño,aireador,LH,mucho viento,Pensar,velocidad,Estafador,Dinero,vista,desilusión,panel,tomar,gran extención,sueño,demostración de pena,Compasión,ahijado,cambio de etapa,Pueden actuar así los animales y personas,algo no transable,caras,Bueno,son dirigidos,comportamiento en público,el que está por sobre todas las personas,engaño,Dioses,montañas,fotos,amigo de la familia,funciona como fortaleza,interruptor,agua,sagrado,terreno,experiencia,muerte,satelites,calles de tierra,Suposición,alumnos,reloj,queja,Rápido ,vuelta,cautela con lo que se dice,rebotar,inesperado,igual pero no original,impuestos,limpio,"Necesita agua, sol",Solicitud de ayuda,resistente,poco o nada de nerviosismo,Liberar aire rapidamente ,voz temblorosa ,no es bueno haciendo algo,dinero,diligencia,cualidad de valido,chupa sangre,arrogancia,extranjero,olor fuerte,conexión
5632,Agregar,calor,hinchazón,Cuando muere el rey se acaba el juego,cortar,Capacidad,respiracion,Tiene muchas historias que contar,superior,bordes,vestir,moda,atrevido,Pelea,Medición ,País,Pelo ,guata,profesor,región de Europa,sin alma ,Pijama,comedor,pastor,capitan america,Turbo,socrates,frio,Ave,demonio,agricultura,Maquina de coser,maritimo,cortar,Chantilly,increible,Sin mayor importancia ,Gato,Risa,dulce,Poseen los mismos atributos,Que engloba lo que está alrededor,desagradable,loop infinto,marmol,influencia,no cumplir en general,envejecer,disgusto,Tierno,loteria ,emocion,tiempo,iniciador,Similar en forma a un grano pero de menor tamaño,chispas,componentes de los seres vivos,miedo,Detective,circular,manipular,Entrada ,escondido,Llanto,marco,sentir el peso,viven animales en esta,foco,parte del llanto,Empatía,cuidado,responsabilidad,Daña a los demás,uso de la autoridad,roja,Increíble ,F16,comportamiento con personas diferentes,quien gobierna,mentira,Loco,amanecer,lo contrario a borroso,al pacino,fortuna,Madera,no potable,monumento,sitio de muchas hectareas,utilidad,amenazar,tierra,huasos ,Razonamiento,colegio,tiempo,solicitud,reflexion de la luz,viaje,no expresa todo con facilidad,salto,conmoción,igualdad,Trabajo,higienización de productos y lugar,tierra,Asociada a peligro ,fuerte,capacidad de adaptarse,alivio,postura contraida,mejor en otra cosa,ofrenda,papeleo,documento autorizado,mamifero,engreido,nómada ,rojizo,voluntario o por conveniencia 
5633,Sumar,frio,lanzeta,Jaque mate,frio,Campo de visión,oxigeno,Ha vivido momentos históricos,suerte,otras perspectivas de algo,reparar,arreglarse,osado,Nostalgia,Exactitud,Símbolo,Barba,gordura,medicina,personas que viven del arte,ataúd ,Vela,borrachera,diacono,escudo,sal,Profundo,choclo,Pajaro,iglesias,Frutos ,Aguja ,descanso,Superficie protectora de algunas cosas como el huevo,dulce,antipatico,No es relevante ,Animales,Risueño,amoroso,"Puede ser de personas, actividades, etc.",Posee ciertas características del lugar,causa rechazo,hipnotizante,museos,importancia,colusion,experiencia,visual,Maullido,cofre con monedas,descontrol,Espacio,disparo,arena,ceniza,capaces de generar cambios internos,desabastecimiento,señales,uniforme,dirigir,Ganancia,enredo,Perdon,pizarra,despegar de una superficie,vegetación bastante basica,claridad,secreción,Malestar,guia,termino de la adolescencia,Conseguir lo que quiere,obligacion,mejillas gordas,Una en un millón ,bengalas ,comportamiento en privado,crea y ejerce las leyes a su favor,armar,magico,películas de terror,distinguido,persona cercana,riqueza,Cambio,no apto para baños,roca,arboles,ventaja,peligro,galaxia,animales ,plan,mostrador,oscilacion ,incumplimeitno,reacción rapida de una persona,camino,conjunto de personas que serviran de ayuda en caso de alguna perdida,elastico,reacción ,respuesta,Dinero,libre de bacterias,Planta,auxilio,firme,buena reaccion ante cambios,exceso de aire,acompañado de miedo,tosco,pagar impuestos,adulto,correcto,rabia,Relacionado con vacio,Atrevido,amarillento,unión por algo
5634,Juntar,gritar,punta,Estrategia,hacha,Cercano,carbono,Tiene buena perspectiva para aconsejar,mejora,cuadrado,Mi perro se rompió la pata y hay que arreglársela,Ropa,decisión,lobo,Se usa para vender algo,Se sujeta con una asta,Gillette,obesidad,salud,conjunto de artistas,miedo,Cabaña,noche,Iglesia,hombre ejemplar,concha,Oscuro,huasos,Nido,exorcismos,Epocas del año,Abuela,entretencion,Es rigida y resistente,caramelo,atrevido,Puede ignorarse ,Dulces,Miedo,simpatico,Se ocupan en las bases de datos,"Existe sociales, económicos",algo que asusta,circulos,historia,poder,evitar,perspectivas,evitar contacto,Pelos,dinero,cambios de animo,Universo,pistola,oro,Similar a una fogata,utilizadas químicamente,norte america,Pistas,desviacion,persona ,Incremento,misterio,Arrepentimiento,señaletica,despertarse,tierra plana,pensar,porción muy pequeña,Ayudar ,proteccion,capacidad de tomar decisiones,perjudicar a alguien ,asignar un deber,alegria,Destino,destruccion,parte de la educación en la crianza ,tiene poder,construir ,divino,fogoso,Lupa,mafia,rey,switch,poco frecuentado,concreto,riachuelo,resolver problema,guerra,Es gigante,campo,prejuicio,conocimiento,trapecio,consulta,respuesta automática una persona ante un estimulo,retorno,espacio natural regulado para su mantencion,oscilacion,Pajaro,temblor,Jefe,control sanitario,Vida,ayuda,estable,Altura,gran exhalación ,posible pánico,bruto,dinero,aburrido,afirmativo,algunos comen fruta,Asociado a una caracteristica en las personas,Curioso,condimento,necesidad del otro 
5635,Concatenar,dolor,aguja,Juego,madera,Límite,fluidez,Tiene opiniones conservadoras,matemática,figura,trato,Moda,audaz,sonoro,Gravedad,Da señales,tijeras,chavo del ocho,anatomia,"persona que vive relajada, libre",nervios,Campo,entretencion,Refugio,Líder,caparazon,Donde vive un cavernicola,campo,bebe,poseeidos,Economía,Ropa,turismo,Solo esta en algunos objetos o animales,chocolate,desubicado,Se deja para el final ,Azucar,Temor,cariñoso,empresa,"Existe sociales, económicos",miedo,resortes,Son altas,cargo,metro,puntos de vista,miedo,Gordo,azar,Euforia,Planetas,arma,solido pequeño,Relacionada con el fuego ,utilizadas biológicamente,estado del clima,Evidencia,potencia,lider,Acción de entrada,encanto,Sentimiento,informacion,agarrar algo,se utilizan para criar animales,reconocer,padecimiento ,Comprender,hada,adultez,idear algo con maldad,Reinado,pómulos grandes,bendición,matan ,Educacion,rey,cuando se hace un obra de teatro se monta una escenografia ,curiosidad,nube,Ver,costumbre antigua,reina,puerta,animales,Templo de la antiguedad,cosecha,especialidad,pólvora ,Está en el espacio,rustico,planos,memoria,física,responsabilidad,copia de una imagen,reversa ,ser cuidadoso con lo que se tiene,resistencia,Volar,causa y efecto,Insomnio,ejercitarse para estar sano,Color,sos,piedra,Suelto,cansancio,manera de ser,caida,regalo,firmar,argumentos ,sistema de navegacion nocturno,Tiene un caracter negativo sobre alguien ,Apasionado,persona irritable,union 
5842,Mas actividades,resistencia,puntiagudo,Lógica,trabajo,Rango,gas,Le importa mantener las tradiciones,lenguas ,lo que rodea a un objeto,Los juegos olímpicos estaban arreglados de andemos,Combinación,atento,miedo,Matemáticas,Es de tela,local,dolor,verde,"persona que vive relajada, libre",muerte,ropa,camaradería,Lugar para orar,Encargado de un barco,babosa,Frio,chile,ave,Embrujo,Exportación,Medicina,largo viaje,Puede tener muchos colores o formas,comida,frontal,No es lo principal ,Helados,Extrañar,alegre,asociacion,Lugar o espacio,no agradable,circunferencias,Hechas de piedra,gerente,impuestos,características,cultura,Traicion,casino,Rojo,Estrellas,guerra,playa,Genera calor,utilizadas tecnológicamente ,pánico entre las personas,inicio,grados,negociar,Acción de incremento,atraccion,tristeza ,desvio,tomar,terreno bueno para ganaderia,entender,parte del sufrimiento,Pena,desconocida,pensar dos veces,mala intencion,Presidencial,parte de la cara,hecho sin precedentes,guerra,Colegio,religion,cuando se compra una maquina hay que montarla para que funcione,reliquia,agua,Lentes,sin un fin práctico,nobleza,trampa,flora,Similar a los cementerios,hay caballos,conocedor,desenfundar ,Cuerpo celeste,grupo de personas,infiltrarse,lugar de trabajo,reloj,compromiso,espejo,retroceso,guardar,espieral,Escandalo,causa y efecto,Dientes,limpio,Flor,rescate,fueerza,Brazalete,respiro ,propio de la inseguridad,equilibrio,bandas musicales,esperar,autentico,radar,admiracion,Viajes,persona que suele enfadarse,relacion no material
5843,Añadir,vida util,filozo,Pensar,madera,Limitación,olor,Está cansada físicamente,personas,geometria,flores,Linda,raro,perro,Masa,Identifica grupo de personas,barba,hombre,animales,movimiento cultural,pudredumbre,mujer,amigos,Suelen ser edificios antiguos,Jefe en fuerzas armadas,plantas,Incomodo,Choclo,migracion,Terror,Trabajo,Hilo,lujo,Pretende contener y proteger ,placer ,locura,minucioso,Ternura,Nostalgia,cordial,ente,Lugar o espacio,miedo,marea,Representación,dinero,huir,caras,pais,Maldad,destino,Pajaro,Hoyos negros ,balas,parte pequeña de algo,Puede ser peligroso si no se controla,sexuliadad,ver cosas volar ,clave,derrapar,incidir,entrada,impecable,malas decisiones ,peligro,accion ,espacio amplio,analizar,desprendimiento de una gota que salta,Foráneo,hada,crecer,tener un mal obrar,Orden,es lo que se sonroja,hecho que no tiene explicación,muerte,Conducta,edad media,armar,mitico,poca vision,Borroso,por compromiso,antiguo,Metal,poco frecuentado,Genera un sentimiento de respeto ,lugar de agrado,habilidad,viejo oeste ,Esfera,población,Algo verdadero,asiento,peso,romper las normas,agua ,regresión,riqueza ,metalico,Advertir,movimiento,Lentes,coronavirus,Tierra,accidente,construccion,Cadera,relajo,lleno de verguenza ,coordinacion,muerte,sacar un documento,algo real,dracula,orgullo,Continentes,persona aguafiestas,lazo entre dos partes
